4512.617148, 9242.305673
4512.613502, 9242.309511
4512.613544, 9242.310308
4512.613786, 9242.310762
4512.614109, 9242.31035
4512.614597, 9242.309982
4512.613859, 9242.310749
4512.61302, 9242.311393
4512.613501, 9242.310584
4512.614287, 9242.308925
4512.614496, 9242.308856
4512.614777, 9242.309703
4512.614553, 9242.30942
4512.614808, 9242.309254
4512.615015, 9242.309914
4512.615363, 9242.310155
4512.61504, 9242.310859
4512.614457, 9242.311863
4512.614152, 9242.312106
4512.616224, 9242.309968
4512.615959, 9242.309861
4512.616567, 9242.308995
4512.616991, 9242.309181
4512.616291, 9242.309467
4512.615363, 9242.309593
4512.615195, 9242.310412
4512.615296, 9242.311206
4512.614435, 9242.311377
4512.615667, 9242.311103
4512.616843, 9242.309983
4512.616001, 9242.308818
4512.615897, 9242.308294
4512.616125, 9242.308372
4512.613602, 9242.310945
4512.614615, 9242.310611
4512.614561, 9242.310717
4512.615395, 9242.312522
4512.616946, 9242.313364
4512.619038, 9242.313818
4512.619722, 9242.313407
4512.617662, 9242.31241
4512.615964, 9242.312076
4512.614909, 9242.311901
4512.614488, 9242.311066
4512.615116, 9242.310307
4512.615354, 9242.309641
4512.61484, 9242.310233
4512.614481, 9242.309487
4512.615243, 9242.309832
4512.61606, 9242.31087
4512.615463, 9242.310723
4512.61744, 9242.308415
4512.617398, 9242.30834
4512.616807, 9242.308724
4512.617177, 9242.307944
4512.61786, 9242.307024
4512.617392, 9242.307508
4512.616478, 9242.308388
4512.616369, 9242.308711
4512.616238, 9242.309168
4512.615066, 9242.310785
4512.615337, 9242.31041
4512.613336, 9242.312795
4512.611003, 9242.316214
4512.611254, 9242.315899
4512.611375, 9242.315749
4512.6125, 9242.314673
4512.613577, 9242.313882
4512.615027, 9242.312536
4512.615468, 9242.311548
4512.613673, 9242.312223
4512.6244, 9242.30544
4512.62656, 9242.30457
4512.62809667, 9242.30479667
4512.629645, 9242.30539
4512.630768, 9242.305748
4512.64417, 9242.29393
4512.64322, 9242.29445
4512.64216, 9242.29465
4512.64059, 9242.2951125
4512.639246, 9242.295468
4512.63807333, 9242.29574
4512.63694286, 9242.29601571
4512.63602125, 9242.29621875
4512.63525, 9242.29637
4512.634435, 9242.296573
4512.62406, 9242.30047
4512.625055, 9242.300185
4512.62440333, 9242.30072667
4512.62428, 9242.30094
4512.623918, 9242.30122
4512.62360167, 9242.30152333
4512.62326571, 9242.30187857
4512.6228575, 9242.3021525
4512.62277, 9242.30237
4512.622563, 9242.302639
4512.62201, 9242.30717
4512.621675, 9242.307375
4512.62124667, 9242.30746333
4512.62063, 9242.3076175
4512.621308, 9242.30798
4512.62195, 9242.30890833
4512.62248714, 9242.31004714
4512.62272375, 9242.311105
4512.62286111, 9242.31198667
4512.622977, 9242.312766
4512.62208, 9242.32173
4512.622, 9242.32168
4512.62143333, 9242.32214333
4512.620735, 9242.322685
4512.62001, 9242.32324
4512.619275, 9242.32376
4512.61863857, 9242.32422143
4512.617975, 9242.32475
4512.61725222, 9242.32529556
4512.616589, 9242.325844
4512.60958, 9242.33276
4512.609675, 9242.333365
4512.61117667, 9242.33439
4512.61198, 9242.335175
4512.612324, 9242.335724
4512.61246333, 9242.33613667
4512.61246429, 9242.33647714
4512.612345, 9242.33670125
4512.61215333, 9242.33685222
4512.611945, 9242.336924
4512.60917, 9242.33663
4512.608875, 9242.336735
4512.60864333, 9242.33674667
4512.608415, 9242.3369375
4512.608106, 9242.337122
4512.60771833, 9242.33734167
4512.60734571, 9242.33748429
4512.60696875, 9242.33756875
4512.60666444, 9242.33758889
4512.60636, 9242.337547
4512.60294, 9242.33651
4512.6027, 9242.33645
4512.60240667, 9242.33641667
4512.6021, 9242.3363875
4512.601788, 9242.336356
4512.60145667, 9242.33623833
4512.60119571, 9242.33602286
4512.60099125, 9242.3357375
4512.60082778, 9242.33539778
4512.600688, 9242.335017
4512.59919, 9242.32926
4512.599205, 9242.32871
4512.59917667, 9242.32815
4512.59915, 9242.327575
4512.599118, 9242.326986
4512.599095, 9242.32640833
4512.59908714, 9242.32583857
4512.59908, 9242.32526625
4512.59904889, 9242.32471889
4512.599039, 9242.32418
4512.59955, 9242.31842
4512.599895, 9242.318345
4512.60027, 9242.31828667
4512.6006175, 9242.3182525
4512.600978, 9242.318222
4512.601335, 9242.31819
4512.60168571, 9242.31813143
4512.6020375, 9242.31803125
4512.60238667, 9242.31792
4512.602717, 9242.317791
4512.607, 9242.31658
4512.60712, 9242.316585
4512.60729333, 9242.31651333
4512.6075625, 9242.316425
4512.607876, 9242.316382
4512.608105, 9242.31643
4512.60829571, 9242.31645429
4512.60850375, 9242.31653625
4512.60875889, 9242.31666444
4512.609062, 9242.316781
4512.6155, 9242.31787
4512.61566, 9242.318865
4512.61597667, 9242.31944333
4512.6163275, 9242.3198125
4512.617036, 9242.319862
4512.617605, 9242.31991833
4512.61814, 9242.31993571
4512.61866375, 9242.31977875
4512.61911111, 9242.31945
4512.619429, 9242.318988
4512.62229, 9242.31156
4512.6225, 9242.3109
4512.62268667, 9242.31026667
4512.6227925, 9242.309645
4512.62286, 9242.309052
4512.62294667, 9242.30849
4512.62312571, 9242.30802571
4512.62334, 9242.30770625
4512.62359, 9242.30746333
4512.623881, 9242.30725
4512.62727, 9242.30329
4512.627295, 9242.302585
4512.62733333, 9242.3019
4512.627425, 9242.3012775
4512.627528, 9242.300694
4512.62759, 9242.300155
4512.62764429, 9242.29966143
4512.62766375, 9242.299165
4512.62765222, 9242.29867667
4512.627644, 9242.298194
4512.62653, 9242.29349
